DISTRICT_NAME,DISTRICT_CODE,TOTAL_STUDENTS,PERCENTAGE_GRADUATED,PERCENTAGE_STILL_IN_SCHOOL,PERCENTAGE_NON_GRADUATE_COMPLETORS,PERCENTAGE_HS_EQUIVALENT,PERCENTAGE_DROPPED_OUT,PERCENTAGE_PERMANENTLY_EXCLUDED
Greenfield,01140000,91,85.70,2.20,4.40,0.00,7.70,0.00
Lincoln-Sudbury,06950000,393,98.00,1.50,0.00,0.00,0.50,0.00
Lowell,01600000,909,80.20,5.90,0.90,0.70,12.30,0.00
Belchertown,00240000,146,89.70,2.10,0.70,0.00,7.50,0.00
South Hadley,02780000,134,92.50,3.00,1.50,0.00,3.00,0.00
Cape Cod Regional Vocational Technical,08150000,159,98.10,0.60,0.00,0.60,0.60,0.00
Whitman-Hanson,07800000,270,88.90,5.20,0.40,0.40,5.20,0.00
Libertas Academy Charter School (District),35140000,67,85.10,1.50,0.00,0.00,13.40,0.00
Northampton,02100000,237,92.40,3.80,0.40,0.40,3.00,0.00
Norfolk County Agricultural,09150000,147,98.60,0.00,0.00,0.00,1.40,0.00
Beverly,00300000,310,89.40,5.80,0.30,0.00,4.20,0.30
Mashpee,01720000,117,89.70,6.00,0.00,0.90,3.40,0.00
Auburn,00170000,182,92.30,2.20,0.00,0.00,5.50,0.00
Winchester,03440000,329,96.00,1.80,0.00,0.30,1.80,0.00
Taunton,02930000,611,89.00,3.10,0.00,0.30,7.50,0.00
Greater New Bedford Regional Vocational Technical,08250000,497,97.80,1.40,0.00,0.00,0.60,0.20
Southwick-Tolland-Granville Regional School District,07660000,86,96.50,3.50,0.00,0.00,0.00,0.00
Bellingham,00250000,166,88.00,5.40,0.00,0.60,6.00,0.00
Essex North Shore Agricultural and Technical School District,08170000,419,99.50,0.20,0.00,0.00,0.20,0.00
Stoneham,02840000,149,91.90,2.70,0.00,0.70,4.70,0.00
Hopkinton,01390000,331,95.80,3.60,0.30,0.00,0.30,0.00
Shawsheen Valley Regional Vocational Technical,08710000,322,98.10,0.00,0.00,0.00,1.90,0.00
Old Rochester,07400000,152,96.10,2.60,0.70,0.00,0.70,0.00
Lee,01500000,55,98.20,1.80,0.00,0.00,0.00,0.00
Hatfield,01270000,20,90.00,0.00,0.00,0.00,10.00,0.00
King Philip,06900000,277,95.30,2.20,0.00,0.40,2.20,0.00
Greater Lawrence Regional Vocational Technical,08230000,424,99.50,0.00,0.00,0.00,0.50,0.00
Boston,00350000,4154,81.30,9.50,0.10,0.30,8.80,0.00
Wayland,03150000,223,97.30,1.80,0.90,0.00,0.00,0.00
Agawam,00050000,239,92.50,2.50,0.00,0.80,4.20,0.00
Gill-Montague,06740000,49,81.60,4.10,0.00,0.00,14.30,0.00
Baystate Academy Charter Public School (District),35020000,43,86.00,0.00,0.00,0.00,4.70,9.30
Prospect Hill Academy Charter (District),04870000,59,93.20,1.70,0.00,1.70,3.40,0.00
Milford,01850000,369,79.70,4.30,0.30,0.50,15.20,0.00
Norton,02180000,171,93.00,0.60,0.60,0.60,5.30,0.00
Marshfield,01710000,324,95.70,2.50,0.00,0.60,1.20,0.00
Walpole,03070000,239,95.80,2.90,0.00,0.00,1.30,0.00
City on a Hill Charter Public School (District),04370000,43,72.10,0.00,0.00,0.00,25.60,2.30
Hull,01420000,64,95.30,1.60,0.00,0.00,3.10,0.00
Blackstone Valley Regional Vocational Technical,08050000,314,100.00,0.00,0.00,0.00,0.00,0.00
Milton,01890000,271,95.90,3.00,0.00,0.00,1.10,0.00
North Adams,02090000,87,83.90,8.00,0.00,0.00,8.00,0.00
Pathfinder Regional Vocational Technical,08600000,139,94.20,1.40,0.00,0.70,3.60,0.00
Dudley-Charlton Reg,06580000,212,90.60,3.80,0.50,0.50,4.70,0.00
Plymouth,02390000,627,91.70,1.80,0.00,0.30,6.20,0.00
Nantucket,01970000,160,90.60,2.50,0.60,0.00,6.20,0.00
New Heights Charter School of Brockton (District),35130000,108,96.30,2.80,0.00,0.00,0.90,0.00
Swansea,02920000,129,93.00,2.30,0.00,0.80,3.90,0.00
Berkshire Arts and Technology Charter Public (District),04140000,30,90.00,3.30,0.00,0.00,6.70,0.00
