DISTRICT_NAME,DISTRICT_CODE,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL
Burlington,00480000,88964890.00,3544.20,25101.58,101223928.90,3650.10,27731.65
Malden,01650000,127616493.00,6272.20,20346.48,151003339.70,7014.30,21528.02
North Attleborough,02120000,66192554.00,3988.40,16596.29,72117826.00,4149.70,17379.26
Hampden-Wilbraham,06800000,52686126.00,2858.00,18434.79,57234888.76,2950.40,19398.99
West Bridgewater,03230000,22426639.89,1396.30,16061.73,24786339.25,1431.80,17311.60
Innovation Academy Charter (District),04350000,14435529.00,790.50,18260.34,14435529.00,790.50,18260.34
Athol-Royalston,06150000,30989939.00,1632.60,18981.76,35648472.42,1887.20,18889.79
East Longmeadow,00870000,48664400.34,2502.70,19444.76,53179205.82,2599.80,20454.97
Tyngsborough,03010000,29366742.00,1540.90,19057.97,33897772.05,1689.50,20064.20
Spencer-E Brookfield,07670000,26845662.00,1403.10,19132.58,31853195.09,1677.40,18989.54
Fall River,00950000,260922821.00,10880.60,23980.53,307277447.30,13005.70,23626.33
Academy Of The Pacific Rim Charter Public (District),04120000,13577682.67,452.60,29997.97,13577682.67,452.60,29997.97
Weston,03300000,61272627.18,2058.80,29760.93,64876656.80,2081.30,31170.97
State Totals,00000000,19453875893.00,867936.70,22413.93,22003229656.00,949843.60,23165.11
Medway,01770000,39540845.00,2180.40,18134.95,43630240.31,2283.10,19109.68
Libertas Academy Charter School (District),35140000,9706225.70,503.90,19261.06,9706225.70,503.90,19261.06
Nashoba,07250000,64905773.01,3039.80,21351.68,69069475.13,3179.70,21722.26
Hopkinton,01390000,72727145.94,4199.50,17317.87,77969648.42,4257.10,18315.15
Cape Cod Lighthouse Charter (District),04320000,4190035.70,249.80,16776.92,4190035.70,249.80,16776.92
Gateway,06720000,18804416.53,739.50,25430.08,20842281.95,846.60,24619.65
Walpole,03070000,70326751.50,3646.50,19286.16,75906001.44,3739.60,20297.71
Benjamin Franklin Classical Charter Public (District),04470000,15980544.00,886.30,18030.22,15980544.00,886.30,18030.22
Cape Cod Regional Vocational Technical,08150000,18621448.00,648.10,28730.40,18651585.90,652.50,28585.49
Andover,00090000,129211369.60,5488.20,23543.37,136436312.20,5582.30,24441.06
Winthrop,03460000,36004344.43,1963.40,18337.96,39137771.83,2027.00,19308.10
Hadley,01170000,12984207.50,515.80,25173.49,14925104.75,623.70,23928.88
Westford,03260000,83869681.00,4645.50,18054.07,91389543.31,4744.40,19262.69
Community Day Charter Public School (District),04400000,24983890.00,1197.50,20863.55,24983890.00,1197.50,20863.55
Berlin-Boylston,06200000,21750000.00,1096.70,19832.32,24479577.03,1166.30,20989.43
Deerfield,00740000,7720685.60,316.70,24381.11,8229487.71,354.70,23199.37
Sturbridge,02870000,16301818.58,904.40,18024.57,20017818.54,941.70,21257.96
Lincoln-Sudbury,06950000,34755630.00,1437.20,24182.78,42619589.60,1495.20,28504.29
Palmer,02270000,24578476.09,1061.50,23154.60,29088490.03,1233.90,23575.39
Scituate,02640000,56069349.24,2743.80,20434.59,60093697.66,2794.00,21508.37
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,3388139.59,104.40,32444.12,3388139.59,104.40,32444.12
Greenfield,01140000,33786934.85,1394.00,24237.21,41494116.51,1869.40,22195.91
Dedham,00730000,66912680.41,2674.00,25023.02,76095598.41,2805.00,27128.50
Berkshire Arts And Technology Charter Public (District),04140000,8149847.65,362.30,22492.27,8149847.65,362.30,22492.27
Dudley Street Neighborhood Charter School (District),04070000,7031439.08,333.30,21093.45,7031439.08,333.30,21093.45
Tantasqua,07700000,31601495.00,1749.30,18065.22,32044256.94,1814.30,17661.97
Easthampton,00860000,24386250.69,1403.70,17372.49,31513810.75,1711.70,18410.60
South Shore Regional Vocational Technical,08730000,19811402.00,659.90,30020.81,19811402.00,659.90,30020.81
Medford,01760000,94136254.16,4159.70,22630.66,108100078.30,4624.00,23377.91
Greater Lawrence Regional Vocational Technical,08230000,53213624.00,1742.70,30534.67,53337423.12,1747.20,30527.41
Lexington,01550000,178521640.50,6828.40,26144.06,193203807.20,6941.80,27831.89
Pioneer Valley Chinese Immersion Charter (District),04970000,11121708.70,547.90,20297.31,11121708.70,547.90,20297.31
Bridge Boston Charter School (District),04170000,10688598.46,334.20,31986.47,10688598.46,334.20,31986.47
Brewster,00410000,12033209.00,436.20,27588.21,12263205.81,454.20,27000.89
Assabet Valley Regional Vocational Technical,08010000,31780934.07,1098.50,28932.09,31848954.27,1101.20,28921.34
Randolph,02440000,66651636.35,2770.70,24056.12,79169176.95,3295.20,24025.87
Dartmouth,00720000,61546955.50,3394.60,18131.08,67798926.27,3506.50,19335.48
Harvard,01250000,23466075.00,1012.80,23169.38,27130865.00,1072.10,25306.23
Sizer School: A North Central Charter Essential (District),04740000,5829226.33,309.60,18825.82,5829226.33,309.60,18825.82
Tewksbury,02950000,68271445.97,3255.00,20974.22,79404942.89,3423.30,23195.20
Up-Island Regional,07740000,14349403.00,401.50,35738.50,15804043.55,455.10,34727.21
Mount Greylock,07150000,26194818.33,1206.90,21704.52,27566960.68,1268.70,21729.20
Fitchburg,00970000,107395145.50,5147.00,20865.76,128755298.50,5895.30,21840.48
Mashpee,01720000,35105403.71,1435.50,24455.84,38479651.02,1593.40,24148.93
Pembroke,02310000,45875604.51,2425.90,18910.97,52492802.42,2562.90,20481.42
Leverett,01540000,3109768.00,141.90,21910.06,3127894.00,145.40,21519.25
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,6251264.88,190.00,32897.93,6251264.88,190.00,32897.93
Chicopee,00610000,156259904.90,6833.90,22865.28,169003424.00,7529.70,22444.84
Excel Academy Charter (District),04100000,33003626.00,1361.60,24238.68,33003626.00,1361.60,24238.68
Tec Connections Academy Commonwealth Virtual School District,39020000,26758228.70,2936.90,9111.01,26758228.70,2936.90,9111.01
Wrentham,03500000,18493958.88,946.20,19545.74,19692123.50,1002.40,19644.95
Ashland,00140000,48750931.08,2914.80,16725.12,53207414.57,2968.80,17922.30
Dover-Sherborn,06550000,28456242.00,1124.00,25317.69,30157182.62,1152.50,26166.58
Grafton,01100000,49743165.15,3089.60,16100.43,54882378.49,3188.80,17211.22
Waltham,03080000,146930813.30,5730.70,25639.04,156358127.30,5922.10,26402.48
Douglas,00770000,20986631.32,1130.00,18571.97,23761987.83,1206.60,19693.63
Westport,03310000,27758105.00,1531.60,18123.07,30644693.42,1669.00,18361.35
Weymouth,03360000,109098757.60,5567.10,19596.94,125777564.00,5997.10,20973.09
Wilmington,03420000,66537061.89,2775.90,23969.40,74369575.12,2881.60,25808.08
Southwick-Tolland-Granville Regional School District,07660000,26661633.62,1312.80,20308.38,29716848.73,1431.90,20753.07
Wachusett,07750000,112456183.60,6661.10,16882.65,126944971.50,6937.80,18297.64
Maynard,01740000,29128979.04,1218.40,23906.80,33934811.69,1384.80,24505.40
Amherst,00080000,31313934.00,1001.50,31267.55,34090794.30,1135.40,30024.74
North Adams,02090000,31404358.02,1196.00,26257.58,36918668.64,1447.40,25507.55
Quabbin,07530000,42105087.41,2151.70,19567.94,45793281.18,2261.30,20250.86
Ashburnham-Westminster,06100000,36415193.29,2246.70,16208.58,39596745.71,2335.70,16952.56
Peabody,02290000,113078477.80,5905.60,19147.58,128983015.40,6252.80,20628.20
Marlborough,01700000,96901700.65,4810.90,20141.95,113364998.10,5571.90,20345.80
North Brookfield,02150000,9404824.61,404.50,23248.90,12153777.31,618.90,19637.04
Mattapoisett,01730000,10078626.00,389.10,25900.93,10694308.63,398.70,26823.69
Williamsburg,03400000,3217557.88,122.30,26301.56,3910409.54,160.60,24343.70
Benjamin Banneker Charter Public (District),04200000,7523015.23,343.70,21888.96,7523015.23,343.70,21888.96
Manchester Essex Regional,06980000,30028892.00,1195.40,25121.42,33636823.84,1227.80,27395.09
Swampscott,02910000,41222288.61,2070.20,19912.01,47865984.38,2202.20,21735.64
Northeast Metropolitan Regional Vocational Technical,08530000,36320318.12,1327.00,27369.45,36330463.12,1328.00,27356.48
Bristol County Agricultural,09100000,14560298.64,581.80,25028.21,14560298.64,581.80,25028.21
Cohasset,00650000,32184950.75,1429.40,22516.49,35254149.68,1461.70,24119.42
Westborough,03210000,79864903.85,3889.30,20534.46,83704903.46,3952.50,21177.97
Fairhaven,00940000,30321108.28,1754.00,17286.73,33262661.34,1821.60,18259.68
Boston,00350000,1654097163.00,47146.90,35083.89,2043435201.00,60359.90,33854.18
Frontier,06700000,13174662.91,602.10,21880.99,14986743.58,656.30,22836.25
Littleton,01580000,30764510.48,1667.70,18446.78,34794940.60,1762.50,19741.36
Freetown-Lakeville,06650000,44301554.58,2686.10,16493.13,48422605.36,2800.40,17291.10
Helen Y. Davis Leadership Academy Charter Public (District),04190000,3330708.96,88.30,37720.37,3330708.96,88.30,37720.37
Amesbury,00070000,41319727.93,1817.90,22729.93,47580888.50,2056.60,23135.42
Concord-Carlisle,06400000,34725127.91,1213.00,28628.00,38630802.16,1258.00,30708.57
Pioneer Charter School Of Science (District),04940000,14572577.11,780.00,18682.31,14572577.11,780.00,18682.31
Greater New Bedford Regional Vocational Technical,08250000,61919117.93,2127.10,29109.19,61965733.25,2135.60,29015.70
Atlantis Charter (District),04910000,21697089.00,1257.80,17249.89,21697089.00,1257.80,17249.89
Chesterfield-Goshen,06320000,3049682.01,137.50,22179.51,3140483.08,151.60,20719.99
Hampden Charter School Of Science East (District),04990000,9737298.00,540.40,18017.69,9737298.00,540.40,18017.69
Essex North Shore Agricultural And Technical School District,08170000,40319722.29,1703.40,23669.83,40982553.88,1716.80,23871.03
Marion,01690000,8419136.00,375.80,22400.59,9179163.00,389.00,23595.14
Leominster,01530000,113294283.30,6007.00,18860.45,125393434.30,6393.90,19611.45
City On A Hill Charter Public School (District),04370000,6638832.22,188.70,35180.08,6638832.22,188.70,35180.08
Silver Lake,07600000,36228373.00,1580.20,22926.77,37847260.79,1681.60,22507.17
Shawsheen Valley Regional Vocational Technical,08710000,38578287.85,1272.10,30326.46,38589799.09,1273.90,30293.12
Roxbury Preparatory Charter (District),04840000,32251621.97,1105.40,29176.43,32251621.97,1105.40,29176.43
Map Academy Charter School (District),35170000,5852118.79,278.60,21004.70,5852118.79,278.60,21004.70
Natick,01980000,107569766.60,5314.70,20239.94,118488824.40,5442.20,21772.31
Bedford,00230000,59145395.00,2561.10,23093.55,66387166.34,2612.60,25410.18
Wellesley,03170000,115932138.70,4086.50,28369.35,124192652.30,4157.90,29869.34
Southbridge,02770000,46430703.01,1888.60,24585.30,54818209.11,2306.30,23768.91
Milton,01890000,82745697.18,4324.60,19133.62,91948508.57,4404.10,20877.78
Savoy,02630000,1086195.32,47.00,23099.62,1328009.12,62.50,21255.70
Sandwich,02610000,56041877.00,2119.20,26445.17,63821526.89,2392.20,26678.89
Southern Berkshire,07650000,20348754.74,613.60,33162.30,21525250.47,757.70,28410.46
Southampton,02750000,7809425.55,472.40,16533.13,9548122.48,549.10,17388.08
Winchester,03440000,80741779.67,4311.80,18725.77,87308028.52,4380.20,19932.59
Bristol-Plymouth Regional Vocational Technical,08100000,32213555.20,1300.30,24773.41,32288054.19,1311.30,24622.41
Northbridge,02140000,33697610.92,1875.30,17969.50,39356844.51,2097.80,18760.78
Up Academy Charter School Of Dorchester (District),35050000,12795448.74,580.10,22058.56,12795448.74,580.10,22058.56
Newburyport,02040000,47687263.52,2168.80,21987.91,54141209.96,2330.30,23233.34
