DISTRICT_NAME,DISTRICT_CODE,ATTENDANCE_RATE,AVERAGE_NUMBER_ABSENCES,ABSENT_10_OR_MORE_DAYS,ABSENT_10_PERCENT_OR_MORE,ABSENT_20_PERCENT_OR_MORE,UNEXCUSED_OVER_9_DAYS
Boston Collegiate Charter (District),04490000,93.6,11.4,45.6,14.8,3.0,21.9
Pelham,02300000,94.2,10.3,49.6,16.0,0.8,9.2
Lowell Middlesex Academy Charter (District),04580000,51.0,70.4,96.9,91.9,80.0,0.0
Nashoba,07250000,95.0,8.9,34.9,10.1,1.7,11.9
South Middlesex Regional Vocational Technical,08290000,95.0,8.9,34.5,11.5,2.1,15.1
Savoy,02630000,94.3,10.2,43.6,12.8,0.0,25.6
Whately,03370000,95.6,7.8,33.1,2.3,0.0,28.6
Match Charter Public School (District),04690000,92.7,12.7,49.7,24.4,6.1,40.8
Gateway,06720000,91.8,14.4,56.7,23.3,6.0,0.0
Acton-Boxborough,06000000,94.8,9.2,35.4,10.9,1.8,0.0
Erving,00910000,93.7,10.8,42.9,23.5,4.2,11.8
Westford,03260000,95.2,8.6,33.6,9.9,1.3,9.9
Pioneer Valley Chinese Immersion Charter (District),04970000,95.6,7.7,28.4,9.0,1.9,5.3
Sunderland,02890000,94.3,10.0,37.2,17.0,4.3,37.2
Hampden-Wilbraham,06800000,94.9,8.9,34.9,9.5,2.0,29.4
Everett,00930000,91.2,13.9,53.2,32.1,9.7,43.6
Lynnfield,01640000,95.5,8.0,29.7,6.3,0.9,0.3
Hatfield,01270000,93.7,11.2,44.1,14.9,3.5,1.6
Tri-County Regional Vocational Technical,08780000,94.6,9.7,37.8,13.8,2.3,6.4
Dudley Street Neighborhood Charter School (District),04070000,92.3,13.7,55.8,23.5,4.8,40.1
Monomoy Regional School District,07120000,93.9,10.6,43.9,15.3,2.8,35.5
Tisbury,02960000,92.1,13.7,62.8,31.4,3.4,7.6
Old Rochester,07400000,93.1,12.3,50.9,21.8,4.0,13.1
Southbridge,02770000,89.9,16.4,60.2,36.9,12.3,49.6
Deerfield,00740000,93.8,11.0,41.3,12.8,4.9,2.3
TEC Connections Academy Commonwealth Virtual School District,39020000,89.6,15.5,43.2,37.5,22.8,38.1
Edgartown,00890000,93.4,11.5,55.9,20.9,1.1,17.1
Shutesbury,02720000,94.7,9.2,39.8,11.7,0.8,0.8
South Hadley,02780000,91.5,15.0,53.2,24.1,9.2,9.4
Boxford,00380000,95.6,7.9,32.3,5.4,0.0,15.8
Somerset,02730000,94.9,9.1,37.4,9.4,1.5,20.8
Norton,02180000,93.4,11.7,45.3,18.1,4.1,0.0
Greater Lowell Regional Vocational Technical,08280000,95.8,7.5,26.9,7.6,1.5,9.8
Andover,00090000,95.1,8.6,31.8,8.6,1.6,4.9
Minuteman Regional Vocational Technical,08300000,94.0,10.5,46.8,15.1,1.8,24.4
Rising Tide Charter Public (District),04830000,94.2,10.0,41.2,15.4,2.4,28.5
Marshfield,01710000,94.7,9.2,35.9,10.4,2.3,18.9
Conway,00680000,94.2,10.4,46.4,15.0,1.3,45.1
River Valley Charter (District),04820000,94.5,9.6,42.7,14.2,0.7,38.0
Roxbury Preparatory Charter (District),04840000,89.6,17.7,62.4,37.0,13.1,52.0
Frontier,06700000,93.2,12.1,43.0,15.1,4.0,22.3
Southeastern Regional Vocational Technical,08720000,95.2,8.4,33.0,10.6,1.5,9.9
Carlisle,00510000,95.4,8.1,31.3,7.5,0.6,0.5
Sturgis Charter Public (District),04890000,92.7,12.7,54.3,23.9,4.2,26.3
Oxford,02260000,93.4,11.4,44.9,19.5,4.7,2.1
Hampshire,06830000,94.1,10.4,40.3,14.2,3.2,0.0
Grafton,01100000,94.0,10.6,40.0,14.8,3.7,1.1
Rochester,02500000,95.2,8.2,31.8,6.8,1.2,0.0
Benjamin Banneker Charter Public (District),04200000,95.1,8.9,38.1,11.9,2.0,13.8
Attleboro,00160000,93.5,11.1,43.5,17.8,4.3,27.6
Swampscott,02910000,94.1,10.4,40.9,15.5,2.9,17.1
Billerica,00310000,94.5,9.6,37.0,12.7,2.8,25.9
Millis,01870000,94.8,9.1,34.8,11.0,1.7,0.0
Northboro-Southboro,07300000,93.5,11.6,46.1,17.8,3.6,7.9
Ware,03090000,93.1,11.7,47.2,22.0,4.5,19.9
Gardner,01030000,92.4,12.7,50.2,26.7,7.1,23.4
Walpole,03070000,95.5,8.0,28.7,7.0,1.5,18.1
Franklin County Regional Vocational Technical,08180000,94.0,10.5,43.6,13.3,2.6,23.6
Swansea,02920000,93.8,10.4,41.0,15.8,3.2,22.6
Dedham,00730000,94.0,10.5,42.1,15.7,3.4,0.0
Clarksburg,00630000,95.0,8.8,35.7,10.5,3.3,13.8
Medfield,01750000,95.7,7.6,26.7,6.8,1.1,15.3
Maynard,01740000,94.4,9.8,35.1,14.5,3.4,12.3
Montachusett Regional Vocational Technical,08320000,95.8,7.3,25.4,7.9,1.3,1.5
Stoughton,02850000,94.2,9.9,37.3,15.4,3.8,0.0
Holbrook,01330000,94.9,8.8,31.7,12.2,2.3,20.0
