DISTRICT_NAME,DISTRICT_CODE,SALARY_TOTALS,AVERAGE_SALARY,FTE_COUNT
Marion,01690000,3296803.00,100512.00,32.8
Lawrence Family Development Charter (District),04540000,4045306.00,63208.00,65.0
North Andover,02110000,31786143.00,94771.00,335.4
Lincoln,01570000,11475622.00,97169.00,118.1
Bedford,00230000,23857888.00,104686.00,227.9
Northampton,02100000,19192742.00,80036.00,239.8
Plainville,02380000,4730268.00,91850.00,51.5
Lincoln-Sudbury,06950000,15008028.00,116612.00,128.7
Auburn,00170000,16071554.00,86267.00,186.3
Blackstone Valley Regional Vocational Technical,08050000,10264587.00,95131.00,107.9
North Adams,02090000,9584979.00,76435.00,125.4
Walpole,03070000,27938881.00,91393.00,305.7
Ipswich,01440000,15756938.00,97085.00,162.3
Watertown,03140000,26633054.00,100692.00,264.5
Greenfield,01140000,9552399.00,73650.00,129.7
Innovation Academy Charter (District),04350000,4886565.00,68753.00,70.9
Haverhill,01280000,57438522.00,85921.00,668.5
Newton,02070000,110872817.00,104716.00,1058.8
Advanced Math and Science Academy Charter (District),04300000,6099473.00,75441.00,85.1
Brookline,00460000,71183253.00,122329.00,581.9
Westhampton,03270000,1141665.00,67157.00,17.0
Sizer School: A North Central Charter Essential (District),04740000,2058335.00,62022.00,31.1
Wellesley,03170000,43047451.00,109899.00,391.7
Upper Cape Cod Regional Vocational Technical,08790000,7486834.00,86254.00,86.8
Pioneer Charter School of Science II (District),35060000,4061852.00,79925.00,49.0
Masconomet,07050000,14577270.00,111192.00,131.1
Franklin,01010000,35291269.00,92192.00,382.8
Granby,01110000,4105060.00,70777.00,58.0
Sudbury,02880000,23115163.00,102734.00,225.0
Plympton,02400000,1809134.00,96745.00,18.7
Whately,03370000,933384.00,59451.00,15.7
Community Day Charter Public School (District),04400000,8543485.00,65703.00,135.5
Danvers,00710000,26523813.00,97514.00,272.0
Clinton,00640000,14242929.00,87059.00,163.6
Somerville,02740000,46160440.00,104743.00,440.7
Andover,00090000,50389369.00,107624.00,468.2
Lynn,01630000,131394358.00,100141.00,1312.1
Shrewsbury,02710000,41651458.00,95247.00,437.3
Clarksburg,00630000,1267983.00,76847.00,16.5
Oxford,02260000,9950581.00,80053.00,124.3
Greater New Bedford Regional Vocational Technical,08250000,18060988.00,91867.00,196.6
Boston,00350000,583709620.00,133127.00,4384.6
Westport,03310000,10335657.00,83017.00,124.5
Framingham,01000000,80559977.00,101833.00,791.1
Veritas Preparatory Charter School (District),04980000,4160111.00,73138.00,64.4
Westfield,03250000,34357523.00,82215.00,417.9
City on a Hill Charter Public School (District),04370000,1386616.00,60782.00,20.5
Avon,00180000,6396411.00,84497.00,75.7
Boston Collegiate Charter (District),04490000,6283496.00,85520.00,81.8
Tewksbury,02950000,23703455.00,93284.00,254.1
Groton-Dunstable,06730000,16847953.00,91218.00,184.7
Nashoba Valley Regional Vocational Technical,08520000,6820325.00,101192.00,67.4
Dudley Street Neighborhood Charter School (District),04070000,2231915.00,117469.00,19.0
Acton-Boxborough,06000000,39734669.00,100138.00,396.8
Belchertown,00240000,14050637.00,82993.00,169.3
Sturbridge,02870000,6783207.00,94211.00,72.0
Williamsburg,03400000,1285297.00,76506.00,16.8
Northborough,02130000,13739511.00,102381.00,134.2
Fitchburg,00970000,37922010.00,84723.00,447.6
Mount Greylock,07150000,9281301.00,83842.00,110.7
Truro,03000000,1332680.00,82775.00,16.1
Chesterfield-Goshen,06320000,1262151.00,85280.00,14.8
Palmer,02270000,8236370.00,80277.00,102.6
Assabet Valley Regional Vocational Technical,08010000,11523431.00,101260.00,113.8
Franklin County Regional Vocational Technical,08180000,4910659.00,90340.00,57.6
Sutton,02900000,8930592.00,91128.00,98.0
Dracut,00790000,20740093.00,84757.00,244.7
Deerfield,00740000,2472569.00,74475.00,33.2
Pentucket,07450000,15450261.00,83787.00,184.4
Chicopee,00610000,55926123.00,90848.00,615.6
Florida,00980000,733080.00,44429.00,16.5
Tantasqua,07700000,12501542.00,83678.00,149.4
Marshfield,01710000,29233798.00,89674.00,326.0
Stoneham,02840000,17160952.00,81293.00,211.1
Boston Renaissance Charter Public (District),04810000,7073072.00,88025.00,83.3
Up-Island Regional,07740000,5553424.00,104782.00,53.0
Montachusett Regional Vocational Technical,08320000,11732457.00,98675.00,118.9
Acushnet,00030000,5808493.00,77654.00,74.8
Mansfield,01670000,29311770.00,98793.00,296.7
Mohawk Trail,07170000,5944685.00,86280.00,68.9
Brimfield,00430000,2634034.00,93547.00,27.6
Westwood,03350000,26946312.00,113220.00,238.0
Provincetown,02420000,3111299.00,164619.00,18.9
Springfield International Charter (District),04410000,7439803.00,86657.00,79.1
Braintree,00400000,42505676.00,102103.00,416.3
Hancock,01210000,463812.00,59463.00,7.8
Woburn,03470000,38045640.00,99232.00,383.4
Dover,00780000,4513455.00,101426.00,44.5
West Boylston,03220000,7122331.00,89252.00,79.8
Whitman-Hanson,07800000,25818797.00,101369.00,254.7
Amherst-Pelham,06050000,10004894.00,92296.00,108.4
Newburyport,02040000,19790222.00,92090.00,214.9
Blackstone-Millville,06220000,10669864.00,94928.00,112.4
Silver Lake,07600000,13239880.00,103356.00,128.1
Sherborn,02690000,3599347.00,104937.00,34.3
Dover-Sherborn,06550000,12086067.00,117000.00,103.3
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,1197596.00,99750.00,12.4
Swansea,02920000,13664283.00,90913.00,150.3
Middleton,01840000,6257369.00,90294.00,69.3
Martha's Vineyard Charter Public School (District),04660000,2001768.00,100682.00,21.8
Lowell Community Charter Public (District),04560000,6046028.00,86372.00,68.6
Benjamin Banneker Charter Public (District),04200000,1605673.00,76461.00,21.0
Sharon,02660000,28044261.00,102426.00,273.8
Revere,02480000,60450028.00,93765.00,644.7
Map Academy Charter School (District),35170000,1765154.00,68040.00,25.1
Gateway,06720000,5875625.00,73629.00,79.8
Pelham,02300000,901847.00,70457.00,12.8
Tisbury,02960000,4355084.00,109424.00,39.8
Hanover,01220000,20465754.00,104046.00,196.7
Malden,01650000,49513196.00,106848.00,463.4
Northeast Metropolitan Regional Vocational Technical,08530000,13032243.00,108331.00,120.3
Billerica,00310000,38942127.00,108203.00,359.9
Hampden Charter School of Science East (District),04990000,3733229.00,86120.00,47.0
Needham,01990000,45784959.00,101790.00,449.8
Hilltown Cooperative Charter Public (District),04500000,1432893.00,67877.00,21.3
Sturgis Charter Public (District),04890000,7598034.00,86960.00,88.1
Community Charter School of Cambridge (District),04360000,3195715.00,113259.00,30.6
Greater Fall River Regional Vocational Technical,08210000,14116765.00,98650.00,143.1
Libertas Academy Charter School (District),35140000,3413255.00,65637.00,53.1
Westford,03260000,33341992.00,90677.00,367.7
Southwick-Tolland-Granville Regional School District,07660000,9519730.00,79998.00,119.0
Springfield Preparatory Charter School (District),35100000,3515007.00,84723.00,42.3
Amesbury,00070000,15035285.00,88756.00,169.4
Quabbin,07530000,12548125.00,83990.00,149.4
Cambridge,00490000,82350688.00,107958.00,762.8
Pembroke,02310000,18029966.00,96469.00,186.9
Monson,01910000,6112078.00,69455.00,88.0
Barnstable,00200000,41047381.00,96107.00,427.1
Southampton,02750000,3440710.00,94266.00,36.5
North Reading,02170000,19699425.00,94846.00,207.7
Bridgewater-Raynham,06250000,34944121.00,100270.00,348.5
Hoosac Valley Regional,06030000,6606876.00,71349.00,92.6
Erving,00910000,1214746.00,62616.00,19.4
Norwell,02190000,16976069.00,100868.00,168.3
East Bridgewater,00830000,13262916.00,79466.00,166.9
Lowell,01600000,107909355.00,93138.00,1158.6
Uxbridge,03040000,12221530.00,90262.00,135.4
Stoughton,02850000,30932060.00,96092.00,321.9
Natick,01980000,46071273.00,100680.00,457.6
River Valley Charter (District),04820000,2351707.00,87750.00,25.2
Bristol County Agricultural,09100000,3908732.00,84240.00,46.4
Quaboag Regional,07780000,7717447.00,87499.00,88.2
Nahant,01960000,935748.00,85848.00,10.9
North Middlesex,07350000,19904515.00,83109.00,239.5
Boston Green Academy Horace Mann Charter School (District),04110000,5145357.00,119966.00,42.7
Lexington,01550000,69774605.00,107428.00,649.5
Nantucket,01970000,16381256.00,102575.00,159.7
Petersham,02340000,875941.00,76837.00,11.4
Agawam,00050000,28679589.00,103238.00,277.8
Foxborough Regional Charter (District),04460000,7673004.00,65000.00,117.0
Fall River,00950000,71454104.00,82549.00,865.6
Sunderland,02890000,1720474.00,71986.00,23.9
Essex North Shore Agricultural and Technical School District,08170000,14886938.00,97747.00,152.3
Oak Bluffs,02210000,5340266.00,101141.00,52.8
Nauset,06600000,12793308.00,101454.00,126.1
Berkley,00270000,5809502.00,85059.00,68.3
Codman Academy Charter Public (District),04380000,3664516.00,79754.00,46.2
Argosy Collegiate Charter School (District),35090000,4507633.00,91785.00,47.0
Collegiate Charter School of Lowell (District),35030000,4529802.00,60616.00,81.2
Seekonk,02650000,16173090.00,91219.00,177.3
Grafton,01100000,19565844.00,81934.00,238.8
Mendon-Upton,07100000,14701401.00,91256.00,161.1
Rowe,02530000,668880.00,73503.00,9.1
Boston Day and Evening Academy Charter (District),04240000,4155045.00,163894.00,26.2
Hingham,01310000,32935922.00,107109.00,307.5
KIPP Academy Boston Charter School (District),04630000,4850900.00,96886.00,54.5
Dennis-Yarmouth,06450000,28706195.00,110664.00,259.4
Belmont,00260000,32895557.00,111738.00,294.4
Academy Of the Pacific Rim Charter Public (District),04120000,4585654.00,87517.00,54.6
Waltham,03080000,53812563.00,97434.00,552.3
Greater Commonwealth Virtual District,39010000,6081732.00,81090.00,75.5
Athol-Royalston,06150000,9548255.00,76325.00,125.1
Gardner,01030000,15417611.00,104103.00,148.1
Boxford,00380000,6271011.00,89077.00,70.4
Falmouth,00960000,26497669.00,92617.00,286.1
Pioneer Valley Chinese Immersion Charter (District),04970000,4941356.00,74657.00,65.1
Dedham,00730000,25907062.00,105228.00,246.2
Cape Cod Lighthouse Charter (District),04320000,1828765.00,81329.00,22.5
Weymouth,03360000,43547647.00,94979.00,458.5
Match Charter Public School (District),04690000,9952693.00,84266.00,121.6
Brewster,00410000,4254688.00,91701.00,47.0
Cape Cod Regional Vocational Technical,08150000,6087595.00,94528.00,64.4
Bellingham,00250000,15241357.00,98522.00,154.7
Douglas,00770000,7816806.00,80255.00,97.4
Norfolk,02080000,8354973.00,96255.00,86.8
Abby Kelley Foster Charter Public (District),04450000,10393591.00,83441.00,125.9
