column,r,p,n
ATTENDANCE_RATE,0.8752200221674014,1.417997061755499e-97,305
ELA_AVERAGE_SCALED_SCORE,0.6199352728687659,4.1821567942928507e-29,261
ELA_M_PERCENTAGE,0.6182572970562631,6.486714687314467e-29,261
MATH_M_PERCENTAGE,0.6165762398041756,1.0042737251653847e-28,261
MATH_AVERAGE_SCALED_SCORE,0.6116448607155776,3.5659402794501486e-28,261
SCI_AVERAGE_SCALED_SCORE,0.5974899113196079,1.2006646834147409e-26,261
ELA_M_E_PERCENTAGE,0.5974615434040604,1.2089457051867445e-26,261
MATH_M_E_PERCENTAGE,0.5930739254541876,3.4718412446563765e-26,261
SCI_M_PERCENTAGE,0.5839319696676246,2.971751789930057e-25,261
SCI_M_E_PERCENTAGE,0.5751877378543109,2.1767626758125497e-24,261
ELA_E_PERCENTAGE,0.4779321669133909,2.666550779572472e-16,261
MATH_E_PERCENTAGE,0.46289798790306813,2.891043749660722e-15,261
SCI_E_PERCENTAGE,0.44892896160272,2.3895352056061964e-14,261
SCI_PARTICIPATION_RATE_PERCENTAGE,0.40625407722044315,8.58163622912119e-12,261
MATH_PARTICIPATION_RATE_PERCENTAGE,0.33335394942894936,3.4231026328745185e-08,261
ELA_PARTICIPATION_RATE_PERCENTAGE,0.2855971433539659,2.7339029418378216e-06,261
ELA_SGP,0.24870456723039283,4.851336400290427e-05,261
MATH_SGP,0.20213284535890397,0.0010240157583849066,261
ART_PARTICIPATION_RATE,0.14844800059609956,0.009542165696822338,304
AVERAGE_SALARY,0.029430938004704824,0.6092511362453649,304
AVERAGE_NUMBER_OF_ABSENCES,0.02259947146660339,0.6947168125159755,304
SCI_E_NUMBER,0.000875423182444825,0.9887701351763586,261
MATH_E_NUMBER,-0.000918920923042861,0.9882121887353673,261
ELA_E_NUMBER,-0.0035836734896948115,0.9540526653818794,261
ART_NINTH_GRADE,-0.007854835312313423,0.8918698926155798,302
FTE_COUNT,-0.01039043671629648,0.8568212870821819,304
ART_ELEVENTH_GRADE,-0.01039786370317533,0.8567200456628514,304
SALARY_TOTALS,-0.01092419824456308,0.8495513542251865,304
TOTAL_IN_DISTRICT_FTES,-0.01098593835391548,0.8487112508258263,304
TOTAL_STUDENTS,-0.011256272790400805,0.8447812947289693,305
ART_ALL_GRADES,-0.011533610387922416,0.8412666168427526,304
SCI_M_E_NUMBER,-0.01193526827067459,0.8478193735508623,261
