DISTRICT_NAME,DISTRICT_CODE,TOTAL_STUDENTS,PERCENTAGE_GRADUATED,PERCENTAGE_STILL_IN_SCHOOL,PERCENTAGE_NON_GRADUATE_COMPLETORS,PERCENTAGE_HS_EQUIVALENT,PERCENTAGE_DROPPED_OUT,PERCENTAGE_PERMANENTLY_EXCLUDED,IN_DISTRICT_EXPENDITURES,TOTAL_IN_DISTRICT_FTES,IN_DISTRICT_EXPENDITURES_PER_PUPIL,TOTAL_EXPENDITURES,TOTAL_PUPIL_FTES,TOTAL_EXPENDITURES_PER_PUPIL,SALARY_TOTALS,AVERAGE_SALARY,FTE_COUNT,ATTENDANCE_RATE,AVERAGE_NUMBER_ABSENCES,ABSENT_10_OR_MORE_DAYS,ABSENT_10_PERCENT_OR_MORE,ABSENT_20_PERCENT_OR_MORE,UNEXCUSED_OVER_9_DAYS,TOTAL_NUMBER_OF_STAFF,ATTENDANCE_RATE_PERCENTAGE,AVERAGE_NUMBER_OF_ABSENCES,ART_KINDERGARTEN,ART_FIRST_GRADE,ART_SECOND_GRADE,ART_THIRD_GRADE,ART_FOURTH_GRADE,ART_FIFTH_GRADE,ART_SIXTH_GRADE,ART_SEVENTH_GRADE,ART_EIGHTH_GRADE,ART_NINTH_GRADE,ART_TENTH_GRADE,ART_ELEVENTH_GRADE,ART_TWELVETH_GRADE,ART_ALL_GRADES,ELA_AVERAGE_SCALED_SCORE,MATH_AVERAGE_SCALED_SCORE,SCI_AVERAGE_SCALED_SCORE,ELA_E_NUMBER,MATH_E_NUMBER,SCI_E_NUMBER,ELA_E_PERCENTAGE,MATH_E_PERCENTAGE,SCI_E_PERCENTAGE,ELA_M_E_NUMBER,MATH_M_E_NUMBER,SCI_M_E_NUMBER,ELA_M_E_PERCENTAGE,MATH_M_E_PERCENTAGE,SCI_M_E_PERCENTAGE,ELA_M_NUMBER,MATH_M_NUMBER,SCI_M_NUMBER,ELA_M_PERCENTAGE,MATH_M_PERCENTAGE,SCI_M_PERCENTAGE,ELA_N_M_NUMBER,MATH_N_M_NUMBER,SCI_N_M_NUMBER,ELA_N_M_PERCENTAGE,MATH_N_M_PERCENTAGE,SCI_N_M_PERCENTAGE,ELA_PARTICIPATION_RATE_PERCENTAGE,MATH_PARTICIPATION_RATE_PERCENTAGE,SCI_PARTICIPATION_RATE_PERCENTAGE,ELA_P_M_NUMBER,MATH_P_M_NUMBER,SCI_P_M_NUMBER,ELA_P_M_PERCENTAGE,MATH_P_M_PERCENTAGE,SCI_P_M_PERCENTAGE,ELA_SGP,MATH_SGP,ELA_TOTAL_STUDENTS_INCLUDED,MATH_TOTAL_STUDENTS_INCLUDED,SCI_TOTAL_STUDENTS_INCLUDED,ELA_TOTAL_STUDENTS_INCLUDED_IN_SGP,MATH_TOTAL_STUDENTS_INCLUDED_IN_SGP,ART_PARTICIPATION_RATE
Greenfield,01140000,91,85.7,2.2,4.4,0.0,7.7,0.0,33786934.85,1394.0,24237.21,41494116.51,1869.4,22195.91,9552399.0,73650.0,129.7,92.0,13.3,46.8,26.6,8.6,29.7,324.0,91.8,14.3,104.0,93.0,119.0,117.0,112.0,117.0,114.0,97.0,86.0,51.0,41.0,42.0,48.0,1141.0,482.0,483.0,486.0,7.0,13.0,1.0,1.0,2.0,1.0,132.0,135.0,56.0,21.0,22.0,30.0,125.0,122.0,55.0,20.0,20.0,29.0,190.0,178.0,49.0,31.0,29.0,26.0,98.0,97.0,93.0,296.0,300.0,82.0,48.0,49.0,44.0,49.0,49.0,618.0,613.0,187.0,456.0,460.0,12.538461538461538
Lincoln-Sudbury,06950000,393,98.0,1.5,0.0,0.0,0.5,0.0,34755630.0,1437.2,24182.78,42619589.6,1495.2,28504.29,15008028.0,116612.0,128.7,95.8,7.6,22.6,6.8,1.8,0.3,239.0,93.7,12.2,,,,,,,,,,282.0,203.0,196.0,184.0,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2010178117048347
Lowell,01600000,909,80.2,5.9,0.9,0.7,12.3,0.0,322474271.9,14517.8,22212.37,378397226.8,17133.9,22084.74,107909355.0,93138.0,1158.6,92.6,12.7,46.9,21.4,6.3,32.0,2591.0,93.4,11.8,1153.0,1133.0,1108.0,1204.0,1221.0,1133.0,1256.0,1133.0,1176.0,199.0,327.0,381.0,418.0,11842.0,485.0,489.0,481.0,262.0,349.0,36.0,4.0,5.0,2.0,1866.0,2117.0,453.0,28.0,31.0,21.0,1604.0,1768.0,417.0,24.0,26.0,19.0,2108.0,1679.0,728.0,31.0,25.0,34.0,99.0,99.0,98.0,2779.0,2977.0,984.0,41.0,44.0,45.0,53.0,54.0,6753.0,6773.0,2165.0,4952.0,5039.0,13.027502750275028
Belchertown,00240000,146,89.7,2.1,0.7,0.0,7.5,0.0,36985235.11,2067.8,17886.42,40404666.93,2265.0,17838.71,14050637.0,82993.0,169.3,93.9,10.6,42.8,15.2,3.4,29.5,313.0,93.9,11.1,128.0,138.0,141.0,166.0,165.0,164.0,163.0,163.0,176.0,99.0,83.0,107.0,101.0,1794.0,498.0,492.0,495.0,68.0,21.0,12.0,7.0,2.0,4.0,443.0,325.0,136.0,46.0,34.0,42.0,375.0,304.0,124.0,39.0,31.0,38.0,115.0,159.0,40.0,12.0,16.0,12.0,96.0,96.0,96.0,406.0,482.0,149.0,42.0,50.0,46.0,53.0,49.0,964.0,966.0,325.0,756.0,761.0,12.287671232876713
South Hadley,02780000,134,92.5,3.0,1.5,0.0,3.0,0.0,32544367.87,1642.9,19809.43,39389551.05,1949.9,20200.44,11943486.0,78627.0,151.9,91.5,15.0,53.2,24.1,9.2,9.4,338.0,92.5,13.7,2.0,116.0,113.0,150.0,105.0,117.0,142.0,114.0,128.0,84.0,48.0,18.0,28.0,1165.0,491.0,489.0,494.0,30.0,35.0,11.0,4.0,5.0,5.0,262.0,233.0,95.0,35.0,31.0,41.0,232.0,198.0,84.0,31.0,27.0,36.0,154.0,159.0,41.0,21.0,21.0,18.0,99.0,99.0,97.0,328.0,355.0,97.0,44.0,48.0,42.0,53.0,44.0,744.0,747.0,233.0,570.0,570.0,8.694029850746269
Cape Cod Regional Vocational Technical,08150000,159,98.1,0.6,0.0,0.6,0.6,0.0,18621448.0,648.1,28730.4,18651585.9,652.5,28585.49,6087595.0,94528.0,64.4,95.0,8.9,33.8,11.6,1.7,1.5,117.0,93.3,12.0,,,,,,,,,,43.0,28.0,6.0,7.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5283018867924528
Whitman-Hanson,07800000,270,88.9,5.2,0.4,0.4,5.2,0.0,62467539.44,3455.3,18078.82,69176103.49,3622.9,19094.19,25818797.0,101369.0,254.7,93.3,11.6,47.2,19.4,5.0,28.9,522.0,93.2,12.4,251.0,263.0,238.0,275.0,237.0,274.0,235.0,263.0,285.0,105.0,141.0,128.0,177.0,2872.0,493.0,494.0,495.0,64.0,71.0,22.0,4.0,4.0,4.0,652.0,641.0,250.0,41.0,40.0,45.0,588.0,570.0,228.0,37.0,36.0,41.0,273.0,252.0,73.0,17.0,16.0,13.0,99.0,99.0,99.0,661.0,692.0,235.0,42.0,44.0,42.0,45.0,45.0,1586.0,1585.0,558.0,1254.0,1259.0,10.637037037037038
Libertas Academy Charter School (District),35140000,67,85.1,1.5,0.0,0.0,13.4,0.0,9706225.7,503.9,19261.06,9706225.7,503.9,19261.06,3413255.0,65637.0,53.1,91.9,13.9,57.9,27.1,6.9,2.8,117.0,96.8,5.9,,,,,,,93.0,92.0,95.0,38.0,84.0,27.0,33.0,462.0,496.0,498.0,493.0,14.0,14.0,0.0,5.0,5.0,0.0,118.0,136.0,27.0,44.0,51.0,31.0,104.0,122.0,27.0,39.0,46.0,31.0,29.0,28.0,12.0,11.0,11.0,14.0,99.0,99.0,97.0,121.0,102.0,49.0,45.0,38.0,56.0,66.0,75.0,268.0,266.0,88.0,245.0,242.0,6.895522388059701
Northampton,02100000,237,92.4,3.8,0.4,0.4,3.0,0.0,54903536.63,2562.4,21426.65,60727331.26,2846.2,21336.28,19192742.0,80036.0,239.8,93.8,10.8,41.4,15.9,4.7,30.8,511.0,90.6,16.5,0.0,159.0,185.0,164.0,176.0,201.0,168.0,171.0,184.0,110.0,170.0,127.0,116.0,1931.0,495.0,490.0,494.0,66.0,52.0,29.0,6.0,5.0,7.0,485.0,384.0,186.0,46.0,36.0,48.0,419.0,332.0,157.0,40.0,31.0,40.0,189.0,236.0,76.0,18.0,22.0,19.0,95.0,95.0,95.0,386.0,439.0,129.0,36.0,41.0,33.0,45.0,45.0,1060.0,1059.0,391.0,852.0,843.0,8.147679324894515
Norfolk County Agricultural,09150000,147,98.6,0.0,0.0,0.0,1.4,0.0,16151960.85,573.7,28155.66,16151960.85,573.7,28155.66,5343345.0,91810.0,58.2,93.3,11.9,49.5,19.9,2.5,33.4,87.0,94.9,9.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
