District Name,District Code,Subject,M+E #,M+E percentage,E #,E percentage,M #,M percentage,PM #,PM percentage,NM #,NM percentage,No. of Students Included,Part. Rate percentage,Avg. Scaled Score,SGP,Included In SGP
Abby Kelley Foster Charter Public (District),04450000,ELA,         242,33,          26,4,         216,30,         366,50,         120,16,         728,100,     490,          51,         597
Abby Kelley Foster Charter Public (District),04450000,MATH,         223,31,          20,3,         203,28,         376,52,         127,17,         726,100,     490,          52,         596
Abby Kelley Foster Charter Public (District),04450000,SCI,          78,33,           7,3,          71,30,         113,48,          43,18,         234,100,     490,,
Abington,00010000,ELA,         369,36,          48,5,         321,31,         457,45,         195,19,"       1,021",98,     492,          44,         797
Abington,00010000,MATH,         384,38,          44,4,         340,34,         473,47,         157,15,"       1,014",97,     493,          44,         794
Abington,00010000,SCI,         131,40,          19,6,         112,35,         137,42,          56,17,         324,96,     493,,
Academy Of the Pacific Rim Charter Public (District),04120000,ELA,          34,14,           1,0,          33,13,         133,53,          82,33,         249,98,     478,          42,         217
Academy Of the Pacific Rim Charter Public (District),04120000,MATH,          35,14,           3,1,          32,13,         111,45,         102,41,         248,98,     478,          43,         219
Academy Of the Pacific Rim Charter Public (District),04120000,SCI,          12,11,           1,1,          11,10,          64,57,          36,32,         112,98,     479,,
Acton-Boxborough,06000000,ELA,"       1,537",67,         376,16,"       1,161",51,         593,26,         162,7,"       2,292",99,     508,          57,"       1,817"
Acton-Boxborough,06000000,MATH,"       1,578",69,         536,23,"       1,042",45,         558,24,         159,7,"       2,295",99,     511,          64,"       1,824"
Acton-Boxborough,06000000,SCI,         542,70,         158,20,         384,50,         179,23,          52,7,         773,98,     510,,
Acushnet,00030000,ELA,         297,49,          55,9,         242,40,         249,41,          62,10,         608,99,     499,          41,         504
Acushnet,00030000,MATH,         294,48,          47,8,         247,40,         268,44,          48,8,         610,100,     500,          41,         505
Acushnet,00030000,SCI,          80,44,          13,7,          67,37,          77,42,          26,14,         183,99,     496,,
Advanced Math and Science Academy Charter (District),04300000,ELA,         207,49,          36,9,         171,41,         180,43,          35,8,         422,100,     499,          46,         412
Advanced Math and Science Academy Charter (District),04300000,MATH,         196,46,          26,6,         170,40,         194,46,          32,8,         422,100,     499,          45,         412
Advanced Math and Science Academy Charter (District),04300000,SCI,          58,42,          11,8,          47,34,          67,48,          14,10,         139,100,     497,,
Agawam,00050000,ELA,         522,34,          39,3,         483,32,         713,47,         295,19,"       1,530",99,     490,          45,"       1,201"
Agawam,00050000,MATH,         501,33,          55,4,         446,29,         773,50,         258,17,"       1,532",99,     491,          48,"       1,216"
Agawam,00050000,SCI,         205,38,          19,4,         186,34,         237,44,          98,18,         540,99,     491,,
Alma del Mar Charter School (District),04090000,ELA,         214,29,          20,3,         194,26,         352,48,         169,23,         735,100,     487,          50,         613
Alma del Mar Charter School (District),04090000,MATH,         213,29,          22,3,         191,26,         378,52,         142,19,         733,100,     489,          49,         612
Alma del Mar Charter School (District),04090000,SCI,          43,18,           3,1,          40,17,         139,58,          57,24,         239,99,     482,,
Amesbury,00070000,ELA,         303,39,          38,5,         265,34,         322,41,         153,20,         778,99,     492,          49,         604
Amesbury,00070000,MATH,         246,32,          36,5,         210,27,         363,47,         170,22,         779,99,     490,          42,         600
Amesbury,00070000,SCI,         102,38,          18,7,          84,31,         109,41,          56,21,         267,99,     493,,
Amherst,00080000,ELA,         278,53,          76,14,         202,38,         180,34,          68,13,         526,95,     501,          60,         381
Amherst,00080000,MATH,         261,49,          56,10,         205,38,         190,35,          85,16,         536,97,     498,          58,         382
Amherst,00080000,SCI,          76,55,          17,12,          59,43,          39,28,          22,16,         137,98,     501,,
Amherst-Pelham,06050000,ELA,         170,54,          44,14,         126,40,          92,29,          55,17,         317,89,     500,          54,         295
Amherst-Pelham,06050000,MATH,         152,50,          47,15,         105,34,         108,35,          47,15,         307,86,     500,          54,         284
Amherst-Pelham,06050000,SCI,          87,56,          16,10,          71,46,          53,34,          16,10,         156,86,     502,,
Andover,00090000,ELA,"       1,660",65,         439,17,"       1,221",48,         704,28,         194,8,"       2,558",99,     508,          53,"       1,985"
Andover,00090000,MATH,"       1,733",68,         509,20,"       1,224",48,         680,27,         147,6,"       2,560",99,     511,          57,"       2,001"
Andover,00090000,SCI,         559,68,         191,23,         368,45,         205,25,          59,7,         823,99,     511,,
