2024 Per Pupil Expenditure,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil
Abby Kelley Foster Charter Public (District),04450000,"          $25,489,056.09","           1,421.4","              $17,932.99","          $25,489,056.09","           1,421.4","              $17,932.99"
Abington,00010000,"          $36,629,465.76","           2,142.5","              $17,096.69","          $42,261,274.01","           2,287.7","              $18,473.06"
Academy Of the Pacific Rim Charter Public (District),04120000,"          $13,577,682.67",             452.6,"              $29,997.97","          $13,577,682.67",             452.6,"              $29,997.97"
Acton-Boxborough,06000000,"         $107,572,842.40","           5,134.3","              $20,951.62","         $117,221,796.10","           5,256.5","              $22,300.21"
Acushnet,00030000,"          $15,654,209.00",             953.7,"              $16,414.47","          $19,821,813.45","           1,232.5","              $16,082.52"
Advanced Math and Science Academy Charter (District),04300000,"          $15,831,306.42",             965.8,"              $16,392.42","          $15,831,306.42",             965.8,"              $16,392.42"
Agawam,00050000,"          $73,697,806.62","           3,523.0","              $20,918.95","          $80,813,510.40","           3,690.6","              $21,896.84"
Alma del Mar Charter School (District),04090000,"          $18,612,133.52","           1,038.8","              $17,917.30","          $18,612,133.52","           1,038.8","              $17,917.30"
Amesbury,00070000,"          $41,319,727.93","           1,817.9","              $22,729.93","          $47,580,888.50","           2,056.6","              $23,135.42"
Amherst,00080000,"          $31,313,934.00","           1,001.5","              $31,267.55","          $34,090,794.30","           1,135.4","              $30,024.74"
Amherst-Pelham,06050000,"          $34,141,149.00","           1,209.3","              $28,231.90","          $38,695,548.18","           1,356.0","              $28,536.40"
Andover,00090000,"         $129,211,369.60","           5,488.2","              $23,543.37","         $136,436,312.20","           5,582.3","              $24,441.06"
Argosy Collegiate Charter School (District),35090000,"          $11,761,569.64",             566.6,"              $20,759.62","          $11,761,569.64",             566.6,"              $20,759.62"
Arlington,00100000,"         $120,526,337.60","           6,065.0","              $19,872.40","         $126,628,028.00","           6,162.2","              $20,549.22"
Ashburnham-Westminster,06100000,"          $36,415,193.29","           2,246.7","              $16,208.58","          $39,596,745.71","           2,335.7","              $16,952.56"
Ashland,00140000,"          $48,750,931.08","           2,914.8","              $16,725.12","          $53,207,414.57","           2,968.8","              $17,922.30"
Assabet Valley Regional Vocational Technical,08010000,"          $31,780,934.07","           1,098.5","              $28,932.09","          $31,848,954.27","           1,101.2","              $28,921.34"
Athol-Royalston,06150000,"          $30,989,939.00","           1,632.6","              $18,981.76","          $35,648,472.42","           1,887.2","              $18,889.79"
Atlantis Charter (District),04910000,"          $21,697,089.00","           1,257.8","              $17,249.89","          $21,697,089.00","           1,257.8","              $17,249.89"
Attleboro,00160000,"         $109,817,146.40","           6,039.3","              $18,183.84","         $118,401,168.80","           6,404.6","              $18,486.93"
