2023-24 Teacher Salaries Report,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
District Name,District Code,Salary Totals,Average Salary,FTE Count
Abby Kelley Foster Charter Public (District),04450000,"     $10,393,591","  $83,441",    125.9
Abington,00010000,"     $14,030,507","  $88,409",    158.7
Academy Of the Pacific Rim Charter Public (District),04120000,"      $4,585,654","  $87,517",     54.6
Acton-Boxborough,06000000,"     $39,734,669"," $100,138",    396.8
Acushnet,00030000,"      $5,808,493","  $77,654",     74.8
Advanced Math and Science Academy Charter (District),04300000,"      $6,099,473","  $75,441",     85.1
Agawam,00050000,"     $28,679,589"," $103,238",    277.8
Alma del Mar Charter School (District),04090000,"      $5,249,607","  $58,329",     85.4
Amesbury,00070000,"     $15,035,285","  $88,756",    169.4
Amherst,00080000,"      $9,768,018","  $87,842",    111.2
Amherst-Pelham,06050000,"     $10,004,894","  $92,296",    108.4
Andover,00090000,"     $50,389,369"," $107,624",    468.2
Argosy Collegiate Charter School (District),35090000,"      $4,507,633","  $91,785",     47.0
Arlington,00100000,"     $46,911,926","  $95,661",    490.4
Ashburnham-Westminster,06100000,"     $13,341,535","  $80,274",    166.2
Ashland,00140000,"     $20,917,446","  $94,563",    221.2
Assabet Valley Regional Vocational Technical,08010000,"     $11,523,431"," $101,260",    113.8
Athol-Royalston,06150000,"      $9,548,255","  $76,325",    125.1
Atlantis Charter (District),04910000,"      $6,480,079","  $60,203",    100.8
Attleboro,00160000,"     $38,934,827","  $95,946",    405.8
Auburn,00170000,"     $16,071,554","  $86,267",    186.3
Avon,00180000,"      $6,396,411","  $84,497",     75.7
Ayer Shirley School District,06160000,"     $12,007,028","  $85,887",    139.8
Barnstable,00200000,"     $41,047,381","  $96,107",    427.1
Baystate Academy Charter Public School (District),35020000,"      $2,698,299","  $46,147",     58.0
Bedford,00230000,"     $23,857,888"," $104,686",    227.9
Belchertown,00240000,"     $14,050,637","  $82,993",    169.3
Bellingham,00250000,"     $15,241,357","  $98,522",    154.7
Belmont,00260000,"     $32,895,557"," $111,738",    294.4
Benjamin Banneker Charter Public (District),04200000,"      $1,605,673","  $76,461",     21.0
Benjamin Franklin Classical Charter Public (District),04470000,"      $6,144,313"," $111,133",     54.5
Berkley,00270000,"      $5,809,502","  $85,059",     68.3
Berkshire Arts and Technology Charter Public (District),04140000,"      $2,468,990","  $64,550",     35.3
Berkshire Hills,06180000,"     $10,675,206","  $90,621",    117.8
Berlin-Boylston,06200000,"      $7,837,913","  $85,102",     92.1
Beverly,00300000,"     $33,287,108","  $87,991",    378.3
Billerica,00310000,"     $38,942,127"," $108,203",    359.9
Blackstone Valley Regional Vocational Technical,08050000,"     $10,264,587","  $95,131",    107.9
Blackstone-Millville,06220000,"     $10,669,864","  $94,928",    112.4
Blue Hills Regional Vocational Technical,08060000,"      $8,709,279"," $106,601",     81.7
Boston,00350000,"    $583,709,620"," $133,127","  4,384.6"
Boston Collegiate Charter (District),04490000,"      $6,283,496","  $85,520",     81.8
Boston Day and Evening Academy Charter (District),04240000,"      $4,155,045"," $163,894",     26.2
Boston Green Academy Horace Mann Charter School (District),04110000,"      $5,145,357"," $119,966",     42.7
Boston Preparatory Charter Public (District),04160000,"      $5,098,588","  $85,336",     64.0
Boston Renaissance Charter Public (District),04810000,"      $7,073,072","  $88,025",     83.3
Bourne,00360000,"     $13,811,016","  $94,661",    145.9
Boxford,00380000,"      $6,271,011","  $89,077",     70.4
Braintree,00400000,"     $42,505,676"," $102,103",    416.3
Brewster,00410000,"      $4,254,688","  $91,701",     47.0
Bridge Boston Charter School (District),04170000,"      $3,461,679"," $104,899",     34.0
Bridgewater-Raynham,06250000,"     $34,944,121"," $100,270",    348.5
Brimfield,00430000,"      $2,634,034","  $93,547",     27.6
Bristol County Agricultural,09100000,"      $3,908,732","  $84,240",     46.4
Bristol-Plymouth Regional Vocational Technical,08100000,"     $11,399,136"," $109,818",    103.8
Brockton,00440000,"    $101,057,285"," $105,757",    963.1
Brooke Charter School (District),04280000,"     $19,154,431"," $105,564",    181.2
Brookfield,00450000,"      $1,820,278","  $70,168",     26.0
Brookline,00460000,"     $71,183,253"," $122,329",    581.9
Burlington,00480000,"     $34,897,434"," $106,851",    326.6
Cambridge,00490000,"     $82,350,688"," $107,958",    762.8
Canton,00500000,"     $27,703,558"," $106,307",    260.6
Cape Cod Lighthouse Charter (District),04320000,"      $1,828,765","  $81,329",     22.5
Cape Cod Regional Vocational Technical,08150000,"      $6,087,595","  $94,528",     64.4
Carlisle,00510000,"      $7,429,824"," $123,419",     60.2
Carver,00520000,"     $10,866,092","  $85,830",    126.6
Central Berkshire,06350000,"     $10,390,375","  $86,371",    120.3
Chelmsford,00560000,"     $34,325,324","  $90,640",    378.7
Chelsea,00570000,"     $43,935,566","  $89,573",    490.5
Chesterfield-Goshen,06320000,"      $1,262,151","  $85,280",     14.8
Chicopee,00610000,"     $55,926,123","  $90,848",    615.6
Christa McAuliffe Charter School (District),04180000,"      $2,958,974","  $99,391",     32.3
City on a Hill Charter Public School (District),04370000,"      $1,386,616","  $60,782",     20.5
Clarksburg,00630000,"      $1,267,983","  $76,847",     16.5
Clinton,00640000,"     $14,242,929","  $87,059",    163.6
Codman Academy Charter Public (District),04380000,"      $3,664,516","  $79,754",     46.2
Cohasset,00650000,"     $12,916,869","  $97,046",    133.1
Collegiate Charter School of Lowell (District),35030000,"      $4,529,802","  $60,616",     81.2
Community Charter School of Cambridge (District),04360000,"      $3,195,715"," $113,259",     30.6
Community Day Charter Public School (District),04400000,"      $8,543,485","  $65,703",    135.5
Concord,00670000,"     $21,193,195"," $114,372",    185.3
Concord-Carlisle,06400000,"     $13,247,918"," $126,051",    105.1
Conservatory Lab Charter (District),04390000,"      $4,077,410"," $143,067",     30.2
Conway,00680000,"      $1,202,035","  $71,978",     16.7
Danvers,00710000,"     $26,523,813","  $97,514",    272.0
Dartmouth,00720000,"     $25,734,530","  $93,106",    276.4
Dedham,00730000,"     $25,907,062"," $105,228",    246.2
Deerfield,00740000,"      $2,472,569","  $74,475",     33.2
Dennis-Yarmouth,06450000,"     $28,706,195"," $110,664",    259.4
Dighton-Rehoboth,06500000,"     $19,048,403","  $91,054",    209.2
Douglas,00770000,"      $7,816,806","  $80,255",     97.4
Dover,00780000,"      $4,513,455"," $101,426",     44.5
Dover-Sherborn,06550000,"     $12,086,067"," $117,000",    103.3
Dracut,00790000,"     $20,740,093","  $84,757",    244.7
Dudley Street Neighborhood Charter School (District),04070000,"      $2,231,915"," $117,469",     19.0
Dudley-Charlton Reg,06580000,"     $22,569,593","  $86,012",    262.4
Duxbury,00820000,"     $22,434,544","  $96,993",    231.3
East Bridgewater,00830000,"     $13,262,916","  $79,466",    166.9
East Longmeadow,00870000,"     $17,194,359","  $85,672",    200.7
Eastham,00850000,"      $1,933,908"," $106,846",     18.1
Easthampton,00860000,"      $8,849,917","  $75,127",    117.8
Easton,00880000,"     $25,331,001","  $95,625",    264.9
Edgartown,00890000,"      $5,037,733"," $109,042",     46.2
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,"      $4,449,296"," $118,493",     35.6
Erving,00910000,"      $1,214,746","  $62,616",     19.4
Essex North Shore Agricultural and Technical School District,08170000,"     $14,886,938","  $97,747",    152.3
Everett,00930000,"     $65,017,436"," $112,487",    578.0
Excel Academy Charter (District),04100000,"     $10,552,689","  $81,966",    130.1
Fairhaven,00940000,"     $11,264,726","  $82,224",    137.0
Fall River,00950000,"     $71,454,104","  $82,549",    865.6
Falmouth,00960000,"     $26,497,669","  $92,617",    286.1
Farmington River Reg,06620000,"      $1,059,067","  $74,582",     14.2
Fitchburg,00970000,"     $37,922,010","  $84,723",    447.6
Florida,00980000,"        $733,080","  $44,429",     16.5
Four Rivers Charter Public (District),04130000,"      $1,496,174"," $101,236",     17.7
Foxborough,00990000,"     $20,626,169","  $96,519",    213.7
Foxborough Regional Charter (District),04460000,"      $7,673,004","  $65,000",    117.0
Framingham,01000000,"     $80,559,977"," $101,833",    791.1
Francis W. Parker Charter Essential (District),04780000,"      $2,791,527","  $68,472",     41.3
Franklin,01010000,"     $35,291,269","  $92,192",    382.8
Franklin County Regional Vocational Technical,08180000,"      $4,910,659","  $90,340",     57.6
Freetown-Lakeville,06650000,"     $18,072,051","  $84,056",    215.0
Frontier,06700000,"      $4,041,181","  $78,317",     51.6
Gardner,01030000,"     $15,417,611"," $104,103",    148.1
Gateway,06720000,"      $5,875,625","  $73,629",     79.8
Georgetown,01050000,"      $8,913,068"," $126,247",     70.6
Gill-Montague,06740000,"      $6,753,800","  $72,002",     93.8
Global Learning Charter Public (District),04960000,"      $2,834,444","  $68,725",     43.4
Gloucester,01070000,"     $23,151,166","  $86,417",    267.9
Grafton,01100000,"     $19,565,844","  $81,934",    238.8
Granby,01110000,"      $4,105,060","  $70,777",     58.0
Greater Commonwealth Virtual District,39010000,"      $6,081,732","  $81,090",     75.5
Greater Fall River Regional Vocational Technical,08210000,"     $14,116,765","  $98,650",    143.1
