District Name,District Code,K,01,02,03,04,05,06,07,08,09,10,11,12,All Grades,Total Students
Abby Kelley Foster Charter Public (District),04450000,     121,     123,     124,     126,     132,     127,     128,     111,     108,      80,      74,      48,      53,"   1,355","       1,424"
Abington,00010000,     147,     177,     173,     183,     197,     173,     178,     156,     162,      61,      87,      53,      66,"   1,813","       2,079"
Academy Of the Pacific Rim Charter Public (District),04120000,,,,,,      42,      60,      78,      72,      84,      59,      22,      26,     443,         498
Acton-Boxborough,06000000,     297,     364,     345,     379,     355,     384,     402,     386,     381,     278,     228,     117,     125,"   4,041","       4,980"
Acushnet,00030000,      79,      94,      88,      89,     110,      92,     123,     102,      91,,,,,     868,         868
Advanced Math and Science Academy Charter (District),04300000,,,,,,,     142,     147,     142,     126,      59,      43,      74,     733,         975
Agawam,00050000,     248,     238,     254,     258,     249,     265,     257,     217,     280,     177,     114,     106,     120,"   2,783","       3,322"
Alma del Mar Charter School (District),04090000,      96,      99,      97,      99,     100,      99,     148,     148,     142,,,,,"   1,028","       1,028"
Amesbury,00070000,     146,     152,     143,     128,     144,     138,     104,     136,     135,     102,     104,     105,     104,"   1,641","       1,757"
Amherst,00080000,     153,     127,     145,     118,     140,     144,     161,,,,,,,     988,         990
Amherst-Pelham,06050000,,,,,,,,     175,     178,     158,     159,     208,     169,"   1,047","       1,194"
Andover,00090000,     386,     372,     409,     418,     429,     402,     475,     419,     423,     327,     264,     215,     282,"   4,821","       5,372"
Argosy Collegiate Charter School (District),35090000,,,,,,,     103,     102,     101,      26,      30,      31,      31,     424,         581
Arlington,00100000,     445,     430,     502,     497,     486,     488,     530,     462,     501,     230,     268,     161,     227,"   5,227","       6,047"
Ashburnham-Westminster,06100000,     141,     148,     168,     173,     171,     164,     215,     183,     176,     109,      93,      69,      63,"   1,873","       2,174"
Ashland,00140000,     179,     218,     177,     234,     241,     198,     232,     236,     222,     181,     135,     136,     109,"   2,498","       2,841"
Assabet Valley Regional Vocational Technical,08010000,,,,,,,,,,     116,     111,      99,     140,     466,"       1,134"
Athol-Royalston,06150000,     113,     141,     126,     144,     123,     107,     124,     114,     130,      65,      40,      40,      25,"   1,292","       1,543"
Atlantis Charter (District),04910000,     109,     110,     109,     109,     110,     108,     108,     110,     110,      54,      31,      48,      57,"   1,173","       1,256"
Attleboro,00160000,     450,     412,     415,     441,     400,     441,     451,     449,     455,     277,     415,     334,     268,"   5,208","       6,025"
Auburn,00170000,     147,     145,     175,     179,     174,     199,     208,     195,     224,      85,     143,     138,     142,"   2,154","       2,402"
Avon,00180000,      50,      46,      56,      54,      50,      49,      50,      62,      59,      33,      29,      24,      44,     606,         719
Ayer Shirley School District,06160000,     136,     121,     155,     161,     113,     140,     141,     131,     138,      81,      86,      65,      96,"   1,564","       1,666"
Barnstable,00200000,     344,     371,     400,     392,     376,     339,     258,     252,     242,     173,     144,     142,     150,"   3,583","       4,489"
Baystate Academy Charter Public School (District),35020000,,,,,,,      60,      62,      57,      47,       0,       0,       0,     226,         358
Bedford,00230000,       0,     165,     162,     153,     195,     187,     184,     211,     184,     197,     161,      92,     112,"   2,003","       2,457"
Belchertown,00240000,     128,     138,     141,     166,     165,     164,     163,     163,     176,      99,      83,     107,     101,"   1,794","       1,972"
Bellingham,00250000,     154,     133,     149,     129,     143,     150,     150,     153,     154,      94,     101,      94,     118,"   1,722","       1,932"
Belmont,00260000,     252,     255,     310,     349,     316,     359,     354,     376,     369,     282,     168,     118,     179,"   3,687","       4,402"
Benjamin Banneker Charter Public (District),04200000,      37,      47,      47,      47,      47,      43,      42,,,,,,,     310,         311
Benjamin Franklin Classical Charter Public (District),04470000,      99,     100,      97,      99,     100,      98,      99,      99,      98,,,,,     889,         889
Berkley,00270000,      78,      82,      84,      81,      78,      72,      57,      59,      66,,,,,     657,         778
Berkshire Arts and Technology Charter Public (District),04140000,,,,,,,      75,      71,      64,      44,      39,      36,      21,     350,         367
Berkshire Hills,06180000,      56,      61,      62,      67,      66,      72,      83,      77,      97,      80,      61,      69,      56,     907,"       1,070"
Berlin-Boylston,06200000,      88,      89,      98,      96,      82,      93,      77,      82,      73,      36,      36,      29,      41,     920,"       1,067"
