District Name,District Code,# in Cohort,Percentage Graduated,Percentage Still in School,Percentage Non-Grad Completers,Percentage H.S. Equiv.,Percentage Dropped Out,Percentage Permanently Excluded
Abby Kelley Foster Charter Public (District),04450000,        76,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Abington,00010000,       136,    91.2,     4.4,     0.0,     0.0,     4.4,     0.0
Academy Of the Pacific Rim Charter Public (District),04120000,        43,    97.7,     0.0,     0.0,     0.0,     2.3,     0.0
Acton-Boxborough,06000000,       408,    94.4,     3.4,     0.0,     0.2,     2.0,     0.0
Advanced Math and Science Academy Charter (District),04300000,       125,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Agawam,00050000,       239,    92.5,     2.5,     0.0,     0.8,     4.2,     0.0
Amesbury,00070000,       134,    82.1,    14.9,     0.7,     1.5,     0.7,     0.0
Amherst-Pelham,06050000,       202,    92.6,     4.5,     0.0,     0.5,     2.5,     0.0
Andover,00090000,       415,    98.1,     1.7,     0.0,     0.0,     0.2,     0.0
Argosy Collegiate Charter School (District),35090000,        54,    77.8,    13.0,     0.0,     0.0,     5.6,     3.7
Arlington,00100000,       402,    96.8,     2.5,     0.0,     0.0,     0.5,     0.2
Ashburnham-Westminster,06100000,       153,    98.0,     2.0,     0.0,     0.0,     0.0,     0.0
Ashland,00140000,       224,    91.5,     0.9,     2.2,     0.4,     4.9,     0.0
Assabet Valley Regional Vocational Technical,08010000,       274,    98.5,     0.0,     0.0,     0.0,     1.5,     0.0
Athol-Royalston,06150000,       120,    81.7,     7.5,     0.8,     0.0,    10.0,     0.0
Atlantis Charter (District),04910000,        80,    93.8,     2.5,     0.0,     0.0,     3.8,     0.0
Attleboro,00160000,       566,    92.2,     3.4,     0.2,     0.2,     4.1,     0.0
Auburn,00170000,       182,    92.3,     2.2,     0.0,     0.0,     5.5,     0.0
Avon,00180000,        60,    90.0,     5.0,     0.0,     0.0,     5.0,     0.0
Ayer Shirley School District,06160000,       123,    94.3,     2.4,     0.0,     0.0,     3.3,     0.0
Barnstable,00200000,       409,    82.9,     5.4,     1.5,     0.7,     9.5,     0.0
Baystate Academy Charter Public School (District),35020000,        43,    86.0,     0.0,     0.0,     0.0,     4.7,     9.3
Bedford,00230000,       224,    98.7,     0.0,     0.0,     0.4,     0.9,     0.0
Belchertown,00240000,       146,    89.7,     2.1,     0.7,     0.0,     7.5,     0.0
Bellingham,00250000,       166,    88.0,     5.4,     0.0,     0.6,     6.0,     0.0
Belmont,00260000,       366,    96.7,     3.3,     0.0,     0.0,     0.0,     0.0
Berkshire Arts and Technology Charter Public (District),04140000,        30,    90.0,     3.3,     0.0,     0.0,     6.7,     0.0
Berkshire Hills,06180000,       141,    86.5,     3.5,     0.0,     0.7,     9.2,     0.0
Berlin-Boylston,06200000,        60,    98.3,     0.0,     0.0,     0.0,     1.7,     0.0
Beverly,00300000,       310,    89.4,     5.8,     0.3,     0.0,     4.2,     0.3
Billerica,00310000,       317,    96.2,     1.3,     0.3,     0.3,     1.9,     0.0
Blackstone Valley Regional Vocational Technical,08050000,       314,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Blackstone-Millville,06220000,        99,    91.9,     3.0,     0.0,     0.0,     5.1,     0.0
Blue Hills Regional Vocational Technical,08060000,       218,    98.2,     1.8,     0.0,     0.0,     0.0,     0.0
Boston,00350000,"     4,154",    81.3,     9.5,     0.1,     0.3,     8.8,     0.0
Boston Collegiate Charter (District),04490000,        74,    94.6,     5.4,     0.0,     0.0,     0.0,     0.0
Boston Day and Evening Academy Charter (District),04240000,       158,    21.5,    48.1,     0.0,     1.9,    27.8,     0.6
Boston Green Academy Horace Mann Charter School (District),04110000,        63,    82.5,     0.0,     0.0,     0.0,    17.5,     0.0
Boston Preparatory Charter Public (District),04160000,        75,    96.0,     4.0,     0.0,     0.0,     0.0,     0.0
Bourne,00360000,        83,    90.4,     4.8,     0.0,     0.0,     4.8,     0.0
Braintree,00400000,       448,    95.5,     0.7,     0.0,     0.0,     3.8,     0.0
Bridgewater-Raynham,06250000,       412,    93.4,     3.4,     0.0,     0.2,     2.9,     0.0
Bristol County Agricultural,09100000,       150,    98.0,     0.0,     0.0,     0.7,     1.3,     0.0
Bristol-Plymouth Regional Vocational Technical,08100000,       313,    98.4,     0.0,     0.0,     0.0,     1.6,     0.0
Brockton,00440000,"     1,383",    75.4,    11.2,     1.6,     0.1,    11.6,     0.0
Brooke Charter School (District),04280000,       105,    90.5,     1.9,     0.0,     1.9,     5.7,     0.0
Brookline,00460000,       555,    95.9,     2.2,     0.0,     0.4,     1.6,     0.0
Burlington,00480000,       247,    93.5,     1.6,     0.0,     0.0,     4.9,     0.0
Cambridge,00490000,       532,    91.7,     5.8,     0.0,     0.2,     2.3,     0.0
Canton,00500000,       232,    94.8,     2.6,     0.0,     0.4,     1.7,     0.4
Cape Cod Regional Vocational Technical,08150000,       159,    98.1,     0.6,     0.0,     0.6,     0.6,     0.0
Carver,00520000,        95,    95.8,     3.2,     0.0,     0.0,     1.1,     0.0
Central Berkshire,06350000,       121,    94.2,     2.5,     0.0,     0.0,     3.3,     0.0
Chelmsford,00560000,       347,    96.0,     1.2,     0.0,     0.3,     2.6,     0.0
Chelsea,00570000,       511,    70.1,    14.1,     0.0,     0.4,    15.5,     0.0
Chicopee,00610000,       548,    88.1,     1.5,     0.0,     1.5,     8.9,     0.0
City on a Hill Charter Public School (District),04370000,        43,    72.1,     0.0,     0.0,     0.0,    25.6,     2.3
Clinton,00640000,       130,    90.0,     6.2,     0.8,     0.8,     2.3,     0.0
Codman Academy Charter Public (District),04380000,        36,    88.9,     5.6,     0.0,     0.0,     5.6,     0.0
Cohasset,00650000,       105,    95.2,     2.9,     0.0,     0.0,     1.9,     0.0
Collegiate Charter School of Lowell (District),35030000,        58,    82.8,     1.7,     0.0,     1.7,    13.8,     0.0
Community Charter School of Cambridge (District),04360000,        40,    92.5,     5.0,     0.0,     0.0,     2.5,     0.0
Concord-Carlisle,06400000,       313,    96.8,     2.6,     0.0,     0.3,     0.3,     0.0
Danvers,00710000,       195,    92.3,     4.6,     0.0,     0.0,     3.1,     0.0
Dartmouth,00720000,       249,    92.4,     3.2,     0.0,     0.4,     4.0,     0.0
Dedham,00730000,       206,    88.8,     4.9,     0.0,     0.5,     5.8,     0.0
Dennis-Yarmouth,06450000,       194,    89.7,     5.7,     0.5,     0.0,     4.1,     0.0
Dighton-Rehoboth,06500000,       172,    91.9,     4.7,     0.0,     0.6,     2.9,     0.0
Douglas,00770000,        65,    98.5,     1.5,     0.0,     0.0,     0.0,     0.0
Dover-Sherborn,06550000,       157,    98.1,     1.9,     0.0,     0.0,     0.0,     0.0
Dracut,00790000,       216,    88.4,     4.2,     0.0,     0.5,     6.9,     0.0
Dudley-Charlton Reg,06580000,       212,    90.6,     3.8,     0.5,     0.5,     4.7,     0.0
Duxbury,00820000,       223,    98.2,     1.3,     0.0,     0.0,     0.4,     0.0
East Bridgewater,00830000,       124,    96.0,     2.4,     0.0,     0.0,     1.6,     0.0
East Longmeadow,00870000,       176,    97.2,     1.1,     0.0,     0.6,     1.1,     0.0
Easthampton,00860000,       101,    93.1,     2.0,     0.0,     1.0,     4.0,     0.0
Easton,00880000,       299,    98.0,     1.7,     0.0,     0.0,     0.3,     0.0
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,        82,    91.5,     1.2,     0.0,     0.0,     6.1,     1.2
Essex North Shore Agricultural and Technical School District,08170000,       419,    99.5,     0.2,     0.0,     0.0,     0.2,     0.0
Everett,00930000,       667,    78.0,     8.1,     0.1,     0.3,    13.5,     0.0
Excel Academy Charter (District),04100000,       163,    95.1,     2.5,     0.6,     0.0,     1.8,     0.0
Fairhaven,00940000,       151,    94.0,     3.3,     0.0,     0.7,     2.0,     0.0
Fall River,00950000,       759,    76.8,     7.1,     0.8,     0.4,    14.9,     0.0
Falmouth,00960000,       210,    91.0,     2.9,     0.0,     1.9,     4.3,     0.0
Fitchburg,00970000,       387,    84.8,     5.9,     0.3,     0.3,     8.8,     0.0
Four Rivers Charter Public (District),04130000,        32,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Foxborough,00990000,       199,    95.0,     3.5,     0.0,     0.5,     1.0,     0.0
Foxborough Regional Charter (District),04460000,        86,    96.5,     1.2,     0.0,     0.0,     2.3,     0.0
Framingham,01000000,       754,    74.3,     6.9,     2.9,     0.5,    15.4,     0.0
Francis W. Parker Charter Essential (District),04780000,        57,    96.5,     3.5,     0.0,     0.0,     0.0,     0.0
Franklin,01010000,       393,    97.7,     2.0,     0.0,     0.0,     0.3,     0.0
Franklin County Regional Vocational Technical,08180000,       160,    93.8,     0.0,     0.0,     0.6,     5.6,     0.0
Freetown-Lakeville,06650000,       176,    96.0,     2.8,     0.6,     0.0,     0.6,     0.0
Frontier,06700000,        97,    91.8,     3.1,     0.0,     1.0,     4.1,     0.0
Gardner,01030000,       238,    87.8,     5.5,     0.4,     0.8,     5.5,     0.0
Gateway,06720000,        37,    86.5,    10.8,     0.0,     0.0,     2.7,     0.0
Georgetown,01050000,        66,    93.9,     1.5,     1.5,     1.5,     1.5,     0.0
Gill-Montague,06740000,        49,    81.6,     4.1,     0.0,     0.0,    14.3,     0.0
Global Learning Charter Public (District),04960000,        37,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Gloucester,01070000,       202,    84.7,     5.0,     0.5,     0.5,     9.4,     0.0
