District Name,District Code,Group,#,Attendance Rate Percentage,Average # of Absences
Abby Kelley Foster Charter Public (District),04450000,All Staff,     214,92.7,13.2
Abby Kelley Foster Charter Public (District),04450000,Administrators,      23,88.8,24.4
Abby Kelley Foster Charter Public (District),04450000,Teachers,     124,94.1,10.5
Abington,00010000,All Staff,     302,93.0,12.8
Abington,00010000,Administrators,      19,95.0,10.4
Abington,00010000,Teachers,     170,93.0,12.5
Academy Of the Pacific Rim Charter Public (District),04120000,All Staff,     113,94.4,10.0
Academy Of the Pacific Rim Charter Public (District),04120000,Administrators,      22,94.0,11.6
Academy Of the Pacific Rim Charter Public (District),04120000,Teachers,      70,94.3,10.1
Acton-Boxborough,06000000,All Staff,     847,94.0,11.1
Acton-Boxborough,06000000,Administrators,      51,94.6,12.4
Acton-Boxborough,06000000,Teachers,     400,93.9,11.1
Acushnet,00030000,All Staff,     128,93.8,11.3
Acushnet,00030000,Administrators,       9,95.8,9.3
Acushnet,00030000,Teachers,      72,93.6,11.3
Advanced Math and Science Academy Charter (District),04300000,All Staff,     130,93.8,10.8
Advanced Math and Science Academy Charter (District),04300000,Administrators,      23,95.2,8.6
Advanced Math and Science Academy Charter (District),04300000,Teachers,      87,94.3,10.3
Agawam,00050000,All Staff,     638,93.2,12.5
Agawam,00050000,Administrators,      31,95.9,8.7
Agawam,00050000,Teachers,     317,94.4,10.2
Alma del Mar Charter School (District),04090000,All Staff,     208,94.5,9.9
Alma del Mar Charter School (District),04090000,Administrators,      26,96.5,7.4
Alma del Mar Charter School (District),04090000,Teachers,     111,93.7,10.8
Amesbury,00070000,All Staff,     333,94.6,9.9
Amesbury,00070000,Administrators,      15,98.1,4.0
Amesbury,00070000,Teachers,     171,94.5,10.1
Amherst,00080000,All Staff,     312,94.6,10.3
Amherst,00080000,Administrators,      24,95.8,9.5
Amherst,00080000,Teachers,     114,92.8,13.1
Amherst-Pelham,06050000,All Staff,     288,95.4,8.5
Amherst-Pelham,06050000,Administrators,      43,96.9,6.1
Amherst-Pelham,06050000,Teachers,     133,94.8,9.4
Andover,00090000,All Staff,     997,93.4,11.8
Andover,00090000,Administrators,      54,96.2,8.3
Andover,00090000,Teachers,     478,93.0,12.8
Argosy Collegiate Charter School (District),35090000,All Staff,     113,91.5,15.7
Argosy Collegiate Charter School (District),35090000,Administrators,      19,93.6,14.4
Argosy Collegiate Charter School (District),35090000,Teachers,      71,91.6,14.9
Arlington,00100000,All Staff,     954,93.7,11.7
